Started cpid: 0 Current pid: 6191
PING ext-cust.squarespace.com (198.49.23.145) 56(84) bytes of data.
64 bytes from 198.49.23.145: icmp_seq=1 ttl=245 time=47.9 ms
64 bytes from 198.49.23.145: icmp_seq=2 ttl=244 time=49.8 ms
64 bytes from 198.49.23.145: icmp_seq=3 ttl=244 time=53.1 ms
64 bytes from 198.49.23.145: icmp_seq=4 ttl=245 time=49.0 ms
64 bytes from 198.49.23.145: icmp_seq=5 ttl=244 time=50.7 ms
64 bytes from 198.49.23.145: icmp_seq=6 ttl=244 time=49.7 ms
64 bytes from 198.49.23.145: icmp_seq=7 ttl=244 time=44.0 ms
64 bytes from 198.49.23.145: icmp_seq=8 ttl=245 time=57.6 ms
64 bytes from 198.49.23.145: icmp_seq=9 ttl=245 time=46.7 ms
64 bytes from 198.49.23.145: icmp_seq=10 ttl=245 time=44.8 ms
64 bytes from 198.49.23.145: icmp_seq=11 ttl=245 time=52.0 ms
64 bytes from 198.49.23.145: icmp_seq=12 ttl=244 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=13 ttl=245 time=48.5 ms
64 bytes from 198.49.23.145: icmp_seq=14 ttl=245 time=45.5 ms
64 bytes from 198.49.23.145: icmp_seq=15 ttl=245 time=45.8 ms
64 bytes from 198.49.23.145: icmp_seq=16 ttl=245 time=45.4 ms
64 bytes from 198.49.23.145: icmp_seq=17 ttl=245 time=47.5 ms
64 bytes from 198.49.23.145: icmp_seq=18 ttl=245 time=52.4 ms
64 bytes from 198.49.23.145: icmp_seq=19 ttl=245 time=46.8 ms
64 bytes from 198.49.23.145: icmp_seq=20 ttl=244 time=47.2 ms
64 bytes from 198.49.23.145: icmp_seq=21 ttl=244 time=46.2 ms
64 bytes from 198.49.23.145: icmp_seq=22 ttl=244 time=49.5 ms
64 bytes from 198.49.23.145: icmp_seq=23 ttl=244 time=45.7 ms
64 bytes from 198.49.23.145: icmp_seq=24 ttl=245 time=50.8 ms
64 bytes from 198.49.23.145: icmp_seq=25 ttl=244 time=49.2 ms
64 bytes from 198.49.23.145: icmp_seq=26 ttl=244 time=47.5 ms
64 bytes from 198.49.23.145: icmp_seq=27 ttl=244 time=46.8 ms
